contig_name	size_bp	bin	qseqid	staxids	bitscore	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	coverage	priority
contig_6872	85475	SexualChromosomes_df	contig_6872	0	31493.0	CM077935.1	78.647	48241	9734	489	1814	49720	4309670	4261663	0.0	0.5604679730915473	2
contig_3644	132228	SexualChromosomes_df	contig_3644	0	30629.0	CM077935.1	81.014	39092	6942	374	41	38867	4297378	4258502	0.0	0.29362918595153825	2
contig_7023	52228	SexualChromosomes_df	contig_7023	0	22744.0	CM077935.1	80.818	29809	5041	449	6231	35530	4259931	4289571	0.0	0.5609826146894387	2
contig_7548	35929	SexualChromosomes_df	contig_7548	0	22572.0	CM077935.1	78.141	36146	7462	367	4	35927	4301361	4265433	0.0	0.9998330039800718	2
contig_10263	50890	SexualChromosomes_df	contig_10263	0	19573.0	JAOTOJ010000009.1	81.742	23852	3979	313	15	23702	4088095	4064456	0.0	0.4654549027313814	2
contig_8232	26860	SexualChromosomes_df	contig_8232	0	18161.0	CM077935.1	86.594	16806	1828	199	10363	26860	29626331	29609643	0.0	0.6141846612062547	2
contig_17987	36356	SexualChromosomes_df	contig_17987	0	16560.0	CM077935.1	81.016	21170	3728	225	1	21059	4082549	4061560	0.0	0.5792166354934536	2
contig_8581	39726	SexualChromosomes_df	contig_8581	0	16403.0	CM077935.1	96.18	10131	212	53	12115	22172	9109559	9119587	0.0	0.2531591401097518	2
contig_10262	34877	SexualChromosomes_df	contig_10262	0	16321.0	JAOTOJ010000009.1	81.516	20077	3499	182	21	20007	4286328	4266374	0.0	0.5730424061702555	2
contig_15070	19935	SexualChromosomes_df	contig_15070	0	16124.0	CM077935.1	81.37	20043	3514	171	5	19933	4292715	4272779	0.0	0.999648858791071	2
contig_4003	23312	SexualChromosomes_df	contig_4003	0	15232.0	JAOTOJ010000009.1	93.591	10345	447	135	13120	23312	61534780	61545060	0.0	0.43719972546328073	2
contig_18003	50376	SexualChromosomes_df	contig_18003	0	14181.0	CM077935.1	82.964	15896	2522	166	26984	42801	4271884	4287671	0.0	0.31397887883118947	2
contig_15363	21818	SexualChromosomes_df	contig_15363	0	14127.0	CM077935.1	96.756	8507	219	30	10083	18563	55869553	55878028	0.0	0.38866990558254655	2
contig_8783	31867	SexualChromosomes_df	contig_8783	0	13642.0	CM077935.1	78.161	21819	4492	210	10195	31818	4266762	4288502	0.0	0.6785389274170772	2
contig_8788	13110	SexualChromosomes_df	contig_8788	0	12992.0	JAOTOJ010000009.1	96.585	7848	250	8	1	7845	38514373	38506541	0.0	0.5983218916857361	2
contig_8881	27466	SexualChromosomes_df	contig_8881	0	12962.0	JAOTOJ010000009.1	96.861	7772	202	16	2189	9941	26823736	26815988	0.0	0.28223986019078134	2
contig_7210	29928	SexualChromosomes_df	contig_7210	0	12744.0	CM077935.1	95.346	8058	311	30	20333	28348	44603893	44595858	0.0	0.2678094092488639	2
contig_6147	25040	SexualChromosomes_df	contig_6147	0	12240.0	JAOTOJ010000009.1	96.65	7432	136	35	5413	12803	13547152	13539793	0.0	0.29512779552715657	2
contig_6788	41779	SexualChromosomes_df	contig_6788	0	12124.0	JAOTOJ010000009.1	79.017	19416	2816	847	118	18995	41894114	41875419	0.0	0.45182986667943226	2
contig_7513	16298	SexualChromosomes_df	contig_7513	0	12083.0	JAOTOJ010000009.1	95.246	7698	252	40	148	7790	155184	162822	0.0	0.4688918885752853	2
contig_7180	38763	SexualChromosomes_df	contig_7180	0	11542.0	JAOTOJ010000009.1	80.804	14951	2689	159	6083	20944	4287583	4272725	0.0	0.3833810592575394	2
contig_6080	11262	SexualChromosomes_df	contig_6080	0	11457.0	CM077935.1	95.433	7248	230	43	116	7319	1847117	1854307	0.0	0.6395844432605221	2
contig_3065	23406	SexualChromosomes_df	contig_3065	0	11372.0	JAOTOJ010000009.1	96.838	6832	165	17	10840	17652	60303536	60296737	0.0	0.291036486371016	2
contig_7757	37913	SexualChromosomes_df	contig_7757	0	10514.0	CM077935.1	80.997	13903	2074	288	7758	21270	29626299	29612575	0.0	0.35639490412259645	2
contig_8940	7347	SexualChromosomes_df	contig_8940	0	10170.0	JAOTOJ010000009.1	96.554	6181	144	35	1195	7347	50979630	50985769	0.0	0.8373485776507418	2
contig_17878	22352	SexualChromosomes_df	contig_17878	0	10137.0	CM077935.1	81.363	12679	2161	153	4729	17287	4256762	4269358	0.0	0.5618289191123836	2
contig_743	17065	SexualChromosomes_df	contig_743	0	10120.0	JAOTOJ010000009.1	96.496	6136	193	11	7102	13230	55669483	55675603	0.0	0.3590975681218869	2
contig_8493	15900	SexualChromosomes_df	contig_8493	0	9952.0	CM077935.1	95.453	6290	200	29	9191	15410	58228421	58234694	0.0	0.3911320754716981	2
contig_7601	21879	SexualChromosomes_df	contig_7601	0	9819.0	CM077935.1	96.258	6039	139	13	1	5977	9634802	9640815	0.0	0.27313862607980255	2
contig_5796	22985	SexualChromosomes_df	contig_5796	0	9766.0	JAOTOJ010000009.1	92.334	6953	401	55	1	6857	38102420	38095504	0.0	0.29828148792690884	2
contig_15880	15748	SexualChromosomes_df	contig_15880	0	9686.0	JAOTOJ010000009.1	96.736	5851	126	27	2210	8046	14596919	14591120	0.0	0.37058674117348234	2
contig_13011	22904	SexualChromosomes_df	contig_13011	0	9463.0	JAOTOJ010000009.1	94.846	6131	198	47	9729	15823	10074670	10068622	0.0	0.26606706252183027	2
contig_8985	13209	SexualChromosomes_df	contig_8985	0	9433.0	CM101943.1	94.761	6127	210	40	7126	13209	18243260	18249318	0.0	0.4605193428722841	2
contig_8159	15333	SexualChromosomes_df	contig_8159	0	9199.0	JAOTOJ010000009.1	96.631	5580	119	29	9485	15012	49287485	49281923	0.0	0.3604643579208244	2
contig_7761	14332	SexualChromosomes_df	contig_7761	0	9084.0	OZ077565.1	90.337	7130	402	138	1866	8797	56410435	56417475	0.0	0.48360312587217413	2
contig_4864	10371	SexualChromosomes_df	contig_4864	0	9084.0	CM077935.1	93.672	6163	243	76	603	6658	22785465	22791587	0.0	0.5838395525985922	2
contig_16174	8722	SexualChromosomes_df	contig_16174	0	9055.0	CM077935.1	97.277	5361	107	18	1656	7007	46993687	46988357	0.0	0.6135060765879385	2
contig_8613	13404	SexualChromosomes_df	contig_8613	0	8817.0	CM077935.1	96.76	5308	136	12	1990	7273	58689590	58694885	0.0	0.394136078782453	2
contig_8362	18942	SexualChromosomes_df	contig_8362	0	8756.0	CM077935.1	95.748	5456	195	11	12127	17559	45992861	45987420	0.0	0.286770140428677	2
contig_10516	6607	SexualChromosomes_df	contig_10516	0	8634.0	JAOTOJ010000009.1	98.241	4946	67	9	47	4976	35517440	35522381	0.0	0.7460269411230513	2
contig_7343	30436	SexualChromosomes_df	contig_7343	0	8519.0	CM077935.1	78.285	14497	2269	621	16406	30382	42128508	42142645	0.0	0.45919306084899464	2
