contig_name	size_bp	bin	qseqid	staxids	bitscore	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	coverage	priority
contig_6872	85475	Binsularis_BLAST_SexualChromosomes.tsv	contig_6872	0.0	31493.0	JAOTOJ010000009.1	78.647	48241.0	9734.0	489.0	1814.0	49720.0	4309670.0	4261663.0	0.0	0.5604679730915473	3
contig_3644	132228	Binsularis_BLAST_SexualChromosomes.tsv	contig_3644	0.0	30629.0	CM077935.1	81.014	39092.0	6942.0	374.0	41.0	38867.0	4297378.0	4258502.0	0.0	0.29362918595153825	3
contig_3857	144477	Binsularis_BLAST_SexualChromosomes.tsv	contig_3857	0.0	29043.0	CM077935.1	96.632	17578.0	442.0	56.0	109071.0	126570.0	47652024.0	47634519.0	0.0	0.12111962457692228	3
contig_6524	123685	Binsularis_BLAST_SexualChromosomes.tsv	contig_6524	0.0	22849.0	JAOTOJ010000009.1	97.607	13372.0	242.0	27.0	39792.0	53112.0	19260738.0	19247394.0	0.0	0.10769292961959817	3
contig_7023	52228	Binsularis_BLAST_SexualChromosomes.tsv	contig_7023	0.0	22744.0	JAOTOJ010000009.1	80.818	29809.0	5041.0	449.0	6231.0	35530.0	4259931.0	4289571.0	0.0	0.5609826146894387	3
contig_7548	35929	Binsularis_BLAST_SexualChromosomes.tsv	contig_7548	0.0	22572.0	CM077935.1	78.141	36146.0	7462.0	367.0	4.0	35927.0	4301361.0	4265433.0	0.0	0.9998330039800718	3
contig_12600	101775	Binsularis_BLAST_SexualChromosomes.tsv	contig_12600	0.0	21769.0	JAOTOJ010000009.1	95.807	13594.0	378.0	87.0	51743.0	65241.0	56790890.0	56777394.0	0.0	0.1326258904446082	3
contig_10263	50890	Binsularis_BLAST_SexualChromosomes.tsv	contig_10263	0.0	19573.0	CM077935.1	81.742	23852.0	3979.0	313.0	15.0	23702.0	4088095.0	4064456.0	0.0	0.4654549027313814	3
contig_8440	60089	Binsularis_BLAST_SexualChromosomes.tsv	contig_8440	0.0	19280.0	JAOTOJ010000009.1	95.796	12012.0	391.0	23.0	24652.0	36587.0	15055329.0	15043356.0	0.0	0.19862204396811398	3
contig_7109	78208	Binsularis_BLAST_SexualChromosomes.tsv	contig_7109	0.0	19239.0	CM077935.1	96.551	11655.0	341.0	23.0	45885.0	57499.0	60948022.0	60936389.0	0.0	0.14850143207855973	3
contig_6100	107570	Binsularis_BLAST_SexualChromosomes.tsv	contig_6100	0.0	19099.0	CM077935.1	96.623	11578.0	266.0	49.0	14897.0	26400.0	48941921.0	48930395.0	0.0	0.106935019057358	3
contig_5849	83832	Binsularis_BLAST_SexualChromosomes.tsv	contig_5849	0.0	19010.0	JAOTOJ010000009.1	96.785	11445.0	275.0	29.0	27405.0	38808.0	50959863.0	50948471.0	0.0	0.13602204408817636	3
contig_5177	105403	Binsularis_BLAST_SexualChromosomes.tsv	contig_5177	0.0	18565.0	JAOTOJ010000009.1	97.129	11042.0	242.0	29.0	75860.0	86871.0	60005974.0	60016970.0	0.0	0.10446571729457416	3
contig_8232	26860	Binsularis_BLAST_SexualChromosomes.tsv	contig_8232	0.0	18161.0	CM077935.1	86.594	16806.0	1828.0	199.0	10363.0	26860.0	29626331.0	29609643.0	0.0	0.6141846612062547	3
contig_17987	36356	Binsularis_BLAST_SexualChromosomes.tsv	contig_17987	0.0	16560.0	JAOTOJ010000009.1	81.016	21170.0	3728.0	225.0	1.0	21059.0	4082549.0	4061560.0	0.0	0.5792166354934536	3
contig_8581	39726	Binsularis_BLAST_SexualChromosomes.tsv	contig_8581	0.0	16403.0	JAOTOJ010000009.1	96.18	10131.0	212.0	53.0	12115.0	22172.0	9109559.0	9119587.0	0.0	0.2531591401097518	3
contig_10262	34877	Binsularis_BLAST_SexualChromosomes.tsv	contig_10262	0.0	16321.0	CM077935.1	81.516	20077.0	3499.0	182.0	21.0	20007.0	4286328.0	4266374.0	0.0	0.5730424061702555	3
